,Name,Team,Points,PointAverage,FangraphsId,POS
340,José Azocar,SDP,178.38134,2.090990335191274,18821,OF
341,Joey Votto,TOR,177.28866839999998,2.7411350910909733,4314,1B
342,Martín Maldonado,CHW,174.458208,2.161401964683276,6887,C
343,Nick Pratto,KCR,173.28551000000002,2.625434604091354,22117,1B/OF
344,Heston Kjerstad,BAL,172.14562,2.7305501052434558,31166,DH
345,Noelvi Marte,CIN,171.86267,3.1353562202632888,26517,3B
346,Jorge Mateo,BAL,171.13931999999997,2.857441582835914,17273,SS
347,Dylan Moore,SEA,169.21684,2.6607007072482727,18042,2B/OF
348,Santiago Espinal,TOR,169.08161500000003,2.3136509989053096,19997,2B/3B
349,Christian Vázquez,MIN,168.834485,2.220200553095745,9774,C
350,Nick Allen,OAK,166.96981,2.0703219622761293,22277,SS
351,Jesse Winker,WSN,166.9347875,2.6675378834485723,13590,DH
352,Jake Bauers,MIL,166.78681799999998,2.601629391376508,15194,1B/OF
353,Miguel Rojas,LAD,165.904298,2.4808787077633494,7802,SS
354,Aledmys Díaz,OAK,164.73757399999997,2.272286278631587,15937,SS/3B
355,Stuart Fairchild,CIN,163.21019000000004,2.4780066349343723,20321,OF
356,Carson Kelly,DET,162.72463799999997,2.214073196218549,13620,C
357,Victor Caratini,HOU,162.38346500000003,2.398949687838864,14968,C
358,Jonathan Aranda,TBR,162.181168,2.5507362606771404,21837,DH
359,Jose Trevino,NYY,161.207268,2.13874223215186,16725,C
360,Miguel Andujar,OAK,158.453994,2.582160062185386,15878,OF
361,Justin Foscue,TEX,157.48092899999997,2.8528792026188072,sa3014527,2B
362,Miguel Amaya,CHC,157.46938600000001,2.433417800937087,21693,C
363,Carter Kieboom,WSN,157.26292300000003,2.4932252152558583,19958,3B
364,Garrett Cooper,CHC,155.87472899999997,2.7842081582129588,15279,1B
365,Alec Burleson,STL,155.27595599999998,2.5791248885057523,27615,OF
366,Lenyn Sosa,CHW,153.67968,2.414441431448762,22896,2B
367,Rob Refsnyder,BOS,151.703027,2.5732309093653893,13770,OF
368,Edmundo Sosa,PHI,151.43682,2.4407539032091177,17022,3B
369,Curtis Mead,TBR,150.194713,2.8657042687522303,23986,3B
370,Jakob Marsee,SDP,148.861819,2.9803478631691487,sa3019868,OF
371,Adalberto Mondesi,,148.09748,3.281385960480894,13769,SS
372,Jonny DeLuca,TBR,147.998292,2.5619735040412137,26365,OF
373,Brandon Crawford,STL,146.54758700000002,2.5143147071388503,5343,SS
374,Miguel Vargas,LAD,145.196872,2.9249443906133856,20178,2B
375,Garrett Hampson,KCR,143.8611,2.318209065858807,19262,SS/OF
376,Max Stassi,CHW,143.18860100000003,2.3692482994491724,10059,C
377,Jordan Diaz,,143.162349,2.398414971251659,22650,2B/3B
378,David Peralta,CHC,143.113841,2.6210846138349115,2136,OF
379,Tom Murphy,SFG,141.50554400000001,2.5801086702841474,13499,C
380,Iván Herrera,STL,141.18747199999999,2.6842898453734665,20599,C
381,DJ Stewart,NYM,141.1070132,2.6891509908962186,17766,OF
382,Colson Montgomery,CHW,140.810319,2.7146774436090224,sa3017170,SS
