#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS,Last,First
1631,Daniel Amaral,663610,663610,sa3006712,,FA,OF,OF,Amaral,Daniel
1632,Daniel Bard,453268,453268,7115,7137,COL,RP,RP,Bard,Daniel
1633,Daniel Bautista,679751,679751,sa3005602,,OAK,OF,OF,Bautista,Daniel
1634,Daniel Benschop,800468,800468,sa3018569,,CHC,OF,OF,Benschop,Daniel
1635,Daniel Bruzual,800362,800362,sa3018531,,TEX,C,C,Bruzual,Daniel
1636,Daniel Cabrera,668667,668667,sa3014452,,DET,OF,OF,Cabrera,Daniel
1637,Daniel Camarena,547176,547176,14467,10649,SD,RP,RP,Camarena,Daniel
1638,Daniel Castano,641447,641447,19805,10841,FA,RP,RP,Castano,Daniel
1639,Daniel Cope,684543,684543,sa3010157,,COL,C,C,Cope,Daniel
1640,Daniel Duarte,650960,650960,17480,11351,MIN,RP,RP,Duarte,Daniel
1641,Daniel Espino,682982,682982,sa3011495,10926,CLE,SP,SP,Espino,Daniel
1642,Daniel Federman,679946,679946,sa3017460,,BAL,SP,SP,Federman,Daniel
1643,Daniel Ferreira,699394,699394,sa3015835,,FA,OF,OF,Ferreira,Daniel
1644,Daniel Gossett,605254,605254,16164,9679,FA,SP,SP,Gossett,Daniel
1645,Daniel Guilarte,694206,694206,sa3018388,,MIL,SS,SS,Guilarte,Daniel
1646,Daniel Harper,679702,679702,sa3020316,,PHI,RP,RP,Harper,Daniel
1647,Daniel Hudson,543339,7146,7146,7627,LAD,RP,RP,Hudson,Daniel
1648,Daniel Johnson,669288,669288,19643,10175,BAL,OF,OF,Johnson,Daniel
1649,Daniel Juarez,684483,684483,sa3011139,,NYM,RP,RP,Juarez,Daniel
1650,Daniel Lopez,808693,808693,sa3021298,,KC,OF,OF,Lopez,Daniel
1651,Daniel Lynch IV,663738,663738,21537,10176,KC,SP,SP,Lynch IV,Daniel
1652,Daniel Martinez,681979,681979,sa3007734,,ATL,SP,SP,Martinez,Daniel
1653,Daniel Mateo,686863,686863,sa3010886,,TEX,OF,OF,Mateo,Daniel
1654,Daniel Mejia,699715,699715,sa3017144,,PHI,SP,SP,Mejia,Daniel
1655,Daniel Mengden,596043,16980,16980,9378,FA,SP,SP,Mengden,Daniel
1656,Daniel Montano,665914,665914,sa917068,,FA,OF,OF,Montano,Daniel
1657,Daniel Montesino,694220,694220,,,SD,OF,OF,Montesino,Daniel
1658,Daniel Norris,596057,13475,13475,8720,FA,RP,RP,Norris,Daniel
1659,Daniel Oriente,686833,686833,sa3014943,,FA,OF,OF,Oriente,Daniel
1660,Daniel Ozoria,672460,672460,sa3003218,,MIN,SS,SS,Ozoria,Daniel
1661,Daniel Palencia,694037,694037,27914,11821,CHC,RP,RP,Palencia,Daniel
1662,Daniel Palka,594953,594953,14897,9550,FA,OF,OF,Palka,Daniel
1663,Daniel Perez,807949,807949,sa3021117,,TOR,1B,1B,Perez,Daniel
1664,Daniel Ponce de Leon,594965,16110,16110,10043,FA,RP,RP,Ponce de Leon,Daniel
