,Name,Pos,FV,Age,ETA,Proj Team,PlayerId,Org
191,Enmanuel Bonilla,RF,40+,18.1388888,2029.0,,sa3020684,TOR
28,Seiya Yokoyama,SS,40+,18.2111111,2030.0,,,
172,Jorge Quintana,SS,40+,16.9361111,2030.0,,,MIL
212,Francisco Vilorio,RF,40+,17.3666666,2030.0,,,NYY
10,Cam Smith,3B,40+,21.3861111,,,,
11,Konnor Griffin,RF,40+,18.2138888,,,,
12,Noah Franco,RF,40+,18.1611111,,,,
13,Carter Johnson,SS,40+,18.3861111,,,,
14,Brody Brecht,SP,40+,21.7888888,,,,
15,Caleb Lomavita,C,40+,21.6472222,,,,
16,Tommy White,1B,40+,21.3583333,,,,
17,Braden Montgomery,SIRP/RF,40+,21.2361111,,,,
18,Slade Caldwell,CF,40+,18.0638888,,,,
19,Mike Sirota,CF,40+,21.0694444,,,,
20,Austin Overn,CF,40+,21.1694444,,,,
21,Vance Honeycutt,CF,40+,21.15,,,,
22,Cam Caminiti,SP,40+,17.925,,,,
23,Charlie Condon,1B,40+,21.2416666,,,,
24,Luke Holman,SP,40+,21.5138888,,,,
25,Michael Massey,SIRP,40+,21.2666666,,,,
26,Hagen Smith,SIRP,40+,20.8944444,,,,
27,Griff O'Ferall,2B,40+,21.4416666,,,,
28,Jacob Cozart,C,40+,21.5055555,,,,
29,Joey Oakie,SP,40+,18.1722222,,,,
185,Kolton Ingram,SIRP,40,27.3916666,2023.0,,26068,DET
33,Yunior Arias,RF,40,17.2722222,2024.0,TOR,,
34,Belfi Rivera,CF,40,17.0777777,2024.0,ARI,,
35,Jhonaykel Ugarte,3B,40,16.8388888,2024.0,KCR,,
36,Emilio Sanchez,SS,40,16.7527777,2024.0,BAL,,
37,Abdiel Feliz,SS,40,16.8916666,2024.0,PIT,,
38,Luis Peña,SS,40,17.1694444,2024.0,MIL,,
39,Eric Stout,SIRP,40,30.7972222,2024.0,,16873,
41,Humberto Cruz,SP,40,17.0722222,2024.0,SDP,,
42,Woo-Suk Go,SIRP,40,25.4388888,2024.0,SDP,sa3012630,
43,Naoyuki Uwasawa,SP,40,29.9388888,2024.0,,sa3023347,
